"EPCI_CODE","EPCI","NATURE","REG_CODE","DEPT_CODE"
"242101459","Communauté de communes du Pays d'Alésia et de la Seine","Communauté de communes","27","21"
"242101491","Communauté de communes du Montbardois","Communauté de communes","27","21"
"242101509","Communauté de communes Rives de Saône","Communauté de communes","27","21"
"242200715","Communauté de communes du Kreiz-Breizh (CCKB)","Communauté de communes","53","22"
"242300135","Communauté de communes du Pays Sostranien","Communauté de communes","75","23"
"242320000","Communauté de communes de Bénévent Grand Bourg","Communauté de communes","75","23"
"242320109","Communauté de communes du Pays Dunois","Communauté de communes","75","23"
"242400752","Communauté de communes Périgord-Limousin","Communauté de communes","75","24"
"242400935","Communauté de communes du Pays de Saint-Aulaye","Communauté de communes","75","24"
"242401024","Communauté de communes Isle-Loue-Auvézère en Périgord","Communauté de communes","75","24"
"242500320","Communauté de communes entre Doubs et Loue","Communauté de communes","27","25"
"242500338","Communauté de communes du Grand Pontarlier","Communauté de communes","27","25"
"242500361","Communauté urbaine Grand Besançon Métropole","Communauté urbaine","27","25"
"242504116","Communauté de communes du Val de Morteau","Communauté de communes","27","25"
"242504181","Communauté de communes des Portes du Haut-Doubs","Communauté de communes","27","25"
"242504355","Communauté de communes du Plateau de Russey","Communauté de communes","27","25"
"242504371","Communauté de communes du Pays de Sancey-Belleherbe","Communauté de communes","27","25"
"242504447","Communauté de communes du Doubs Baumois","Communauté de communes","27","25"
"242504488","Communauté de communes Altitude 800","Communauté de communes","27","25"
"242504496","Communauté de communes du Plateau de Frasne et du Val du Drugeon (CFD)","Communauté de communes","27","25"
"242600252","Communauté de communes du Val de Drôme en Biovallée","Communauté de communes","84","26"
"242600492","Communauté de communes Dieulefit-Bourdeaux","Communauté de communes","84","26"
"242600534","Communauté de communes du Diois","Communauté de communes","84","26"
"242700276","Communauté de communes du Pays de Conches","Communauté de communes","28","27"
"242700607","Communauté de communes du Pays du Neubourg","Communauté de communes","28","27"
"242852465","Communauté de communes du Bonnevalais","Communauté de communes","24","28"
